,from,to,from_X,from_Y,to_X,to_Y,weight
0,保定,北京,115.482331, 38.867657,116.405285, 39.904989,1
1,乌海,北京,106.825563, 39.673734,116.405285, 39.904989,1
2,上海,北京,121.472644, 31.231706,116.405285, 39.904989,94
3,临沂,北京,118.326443, 35.065282,116.405285, 39.904989,1
4,信阳,北京,114.075031, 32.123274,116.405285, 39.904989,1
5,佛山,北京,113.122717, 23.028762,116.405285, 39.904989,1
6,东莞,北京,113.746262, 23.046237,116.405285, 39.904989,3
7,中山,北京,113.382391, 22.521113,116.405285, 39.904989,25
8,三亚,北京,109.508268, 18.247872,116.405285, 39.904989,1
9,兰州,北京,103.823557, 36.058039,116.405285, 39.904989,5
10,乌鲁木齐,北京,87.617733, 43.792818,116.405285, 39.904989,1
11,北京,天津,116.405285, 39.904989,117.190182, 39.125596,46
12,大连,天津,121.618622, 38.91459,117.190182, 39.125596,1
13,吉林,天津,126.55302, 43.843577,117.190182, 39.125596,1
14,哈尔滨,天津,126.642464, 45.756967,117.190182, 39.125596,4
15,上海,天津,121.472644, 31.231706,117.190182, 39.125596,11
16,南京,天津,118.767413, 32.041544,117.190182, 39.125596,5
17,合肥,天津,117.283042, 31.86119,117.190182, 39.125596,2
18,厦门,天津,118.11022, 24.490474,117.190182, 39.125596,2
19,中山,天津,113.382391, 22.521113,117.190182, 39.125596,1
20,兰州,天津,103.823557, 36.058039,117.190182, 39.125596,1
21,北京,石家庄,116.405285, 39.904989,114.502461, 38.045474,9
22,天津,石家庄,117.190182, 39.125596,114.502461, 38.045474,3
23,保定,石家庄,115.482331, 38.867657,114.502461, 38.045474,3
24,哈尔滨,石家庄,126.642464, 45.756967,114.502461, 38.045474,1
25,上海,石家庄,121.472644, 31.231706,114.502461, 38.045474,1
26,济南,石家庄,117.000923, 36.675807,114.502461, 38.045474,1
27,成都,石家庄,104.065735, 30.659462,114.502461, 38.045474,1
28,兰州,石家庄,103.823557, 36.058039,114.502461, 38.045474,1
29,北京,唐山,116.405285, 39.904989,118.175393, 39.635113,2
30,南京,唐山,118.767413, 32.041544,118.175393, 39.635113,1
31,北京,秦皇岛,116.405285, 39.904989,119.586579, 39.942531,2
32,天津,秦皇岛,117.190182, 39.125596,119.586579, 39.942531,2
33,北京,邯郸,116.405285, 39.904989,114.490686, 36.612273,1
34,天津,邯郸,117.190182, 39.125596,114.490686, 36.612273,1
35,石家庄,邯郸,114.502461, 38.045474,114.490686, 36.612273,2
36,哈尔滨,邯郸,126.642464, 45.756967,114.490686, 36.612273,2
37,杭州,邯郸,120.153576, 30.287459,114.490686, 36.612273,1
38,深圳,邯郸,114.085947, 22.547,114.490686, 36.612273,1
39,北京,承德,116.405285, 39.904989,117.939152, 40.976204,2
40,北京,廊坊,116.405285, 39.904989,116.704441, 39.523927,1
41,北京,太原,116.405285, 39.904989,112.549248, 37.857014,9
42,厦门,太原,118.11022, 24.490474,112.549248, 37.857014,1
43,兰州,太原,103.823557, 36.058039,112.549248, 37.857014,2
44,兰州,忻州,103.823557, 36.058039,112.733538, 38.41769,1
45,北京,呼和浩特,116.405285, 39.904989,111.670801, 40.818311,4
46,保定,呼和浩特,115.482331, 38.867657,111.670801, 40.818311,1
47,北京,赤峰,116.405285, 39.904989,118.956806, 42.275317,1
48,北京,沈阳,116.405285, 39.904989,123.429096, 41.796767,12
49,大连,沈阳,121.618622, 38.91459,123.429096, 41.796767,3
50,吉林,沈阳,126.55302, 43.843577,123.429096, 41.796767,1
51,哈尔滨,沈阳,126.642464, 45.756967,123.429096, 41.796767,1
52,上海,沈阳,121.472644, 31.231706,123.429096, 41.796767,2
53,南京,沈阳,118.767413, 32.041544,123.429096, 41.796767,1
54,杭州,沈阳,120.153576, 30.287459,123.429096, 41.796767,1
55,武汉,沈阳,114.298572, 30.584355,123.429096, 41.796767,2
56,成都,沈阳,104.065735, 30.659462,123.429096, 41.796767,1
57,北京,大连,116.405285, 39.904989,121.618622, 38.91459,8
58,哈尔滨,大连,126.642464, 45.756967,121.618622, 38.91459,1
59,上海,大连,121.472644, 31.231706,121.618622, 38.91459,2
60,南京,大连,118.767413, 32.041544,121.618622, 38.91459,1
61,天津,锦州,117.190182, 39.125596,121.135742, 41.119269,1
62,天津,辽阳,117.190182, 39.125596,123.18152, 41.269402,2
63,北京,长春,116.405285, 39.904989,125.3245, 43.886841,1
64,沈阳,长春,123.429096, 41.796767,125.3245, 43.886841,1
65,锦州,长春,121.135742, 41.119269,125.3245, 43.886841,1
66,吉林,长春,126.55302, 43.843577,125.3245, 43.886841,2
67,苏州,长春,120.619585, 31.299379,125.3245, 43.886841,1
68,杭州,长春,120.153576, 30.287459,125.3245, 43.886841,1
69,济南,长春,117.000923, 36.675807,125.3245, 43.886841,1
70,北京,吉林,116.405285, 39.904989,126.55302, 43.843577,3
71,上海,吉林,121.472644, 31.231706,126.55302, 43.843577,2
72,北京,哈尔滨,116.405285, 39.904989,126.642464, 45.756967,23
73,呼和浩特,哈尔滨,111.670801, 40.818311,126.642464, 45.756967,1
74,上海,哈尔滨,121.472644, 31.231706,126.642464, 45.756967,9
75,南京,哈尔滨,118.767413, 32.041544,126.642464, 45.756967,7
76,合肥,哈尔滨,117.283042, 31.86119,126.642464, 45.756967,1
77,佛山,哈尔滨,113.122717, 23.028762,126.642464, 45.756967,1
78,南宁,哈尔滨,108.320004, 22.82402,126.642464, 45.756967,2
79,兰州,哈尔滨,103.823557, 36.058039,126.642464, 45.756967,2
80,哈尔滨,大庆,126.642464, 45.756967,125.11272, 46.590734,1
81,北京,南京,116.405285, 39.904989,118.767413, 32.041544,81
82,上海,南京,121.472644, 31.231706,118.767413, 32.041544,49
83,中山,南京,113.382391, 22.521113,118.767413, 32.041544,4
84,兰州,南京,103.823557, 36.058039,118.767413, 32.041544,1
85,北京,无锡,116.405285, 39.904989,120.301663, 31.574729,2
86,上海,无锡,121.472644, 31.231706,120.301663, 31.574729,1
87,南京,无锡,118.767413, 32.041544,120.301663, 31.574729,1
88,北京,徐州,116.405285, 39.904989,117.184811, 34.261792,1
89,南京,徐州,118.767413, 32.041544,117.184811, 34.261792,2
90,常州,徐州,119.946973, 31.772752,117.184811, 34.261792,1
91,北京,常州,116.405285, 39.904989,119.946973, 31.772752,2
92,上海,常州,121.472644, 31.231706,119.946973, 31.772752,1
93,南京,常州,118.767413, 32.041544,119.946973, 31.772752,6
94,北京,苏州,116.405285, 39.904989,120.619585, 31.299379,24
95,哈尔滨,苏州,126.642464, 45.756967,120.619585, 31.299379,4
96,上海,苏州,121.472644, 31.231706,120.619585, 31.299379,25
97,南京,苏州,118.767413, 32.041544,120.619585, 31.299379,18
98,无锡,苏州,120.301663, 31.574729,120.619585, 31.299379,1
99,常州,苏州,119.946973, 31.772752,120.619585, 31.299379,1
100,杭州,苏州,120.153576, 30.287459,120.619585, 31.299379,3
101,温州,苏州,120.672111, 28.000575,120.619585, 31.299379,1
102,湖州,苏州,120.102398, 30.867198,120.619585, 31.299379,1
103,合肥,苏州,117.283042, 31.86119,120.619585, 31.299379,3
104,厦门,苏州,118.11022, 24.490474,120.619585, 31.299379,1
105,泉州,苏州,118.589421, 24.908853,120.619585, 31.299379,1
106,漯河,苏州,114.026405, 33.575855,120.619585, 31.299379,1
107,武汉,苏州,114.298572, 30.584355,120.619585, 31.299379,4
108,桂林,苏州,110.299121, 25.274215,120.619585, 31.299379,2
109,成都,苏州,104.065735, 30.659462,120.619585, 31.299379,1
110,南京,淮安,118.767413, 32.041544,119.021265, 33.597506,1
111,北京,扬州,116.405285, 39.904989,119.421003, 32.393159,1
112,南京,扬州,118.767413, 32.041544,119.421003, 32.393159,3
113,中山,扬州,113.382391, 22.521113,119.421003, 32.393159,1
114,上海,宿迁,121.472644, 31.231706,118.275162, 33.963008,1
115,南京,宿迁,118.767413, 32.041544,118.275162, 33.963008,1
116,北京,杭州,116.405285, 39.904989,120.153576, 30.287459,26
117,天津,杭州,117.190182, 39.125596,120.153576, 30.287459,1
118,吉林,杭州,126.55302, 43.843577,120.153576, 30.287459,1
119,哈尔滨,杭州,126.642464, 45.756967,120.153576, 30.287459,1
120,上海,杭州,121.472644, 31.231706,120.153576, 30.287459,31
121,南京,杭州,118.767413, 32.041544,120.153576, 30.287459,18
122,宁波,杭州,121.549792, 29.868388,120.153576, 30.287459,1
123,台州,杭州,121.428599, 28.661378,120.153576, 30.287459,1
124,合肥,杭州,117.283042, 31.86119,120.153576, 30.287459,2
125,六安,杭州,116.507676, 31.752889,120.153576, 30.287459,1
126,南昌,杭州,115.892151, 28.676493,120.153576, 30.287459,1
127,广州,杭州,113.280637, 23.125178,120.153576, 30.287459,5
128,佛山,杭州,113.122717, 23.028762,120.153576, 30.287459,1
129,昆明,杭州,102.712251, 25.040609,120.153576, 30.287459,1
130,兰州,杭州,103.823557, 36.058039,120.153576, 30.287459,1
131,台湾省,杭州,121.509062,25.044332,120.153576, 30.287459,2
132,北京,宁波,116.405285, 39.904989,121.549792, 29.868388,5
133,天津,宁波,117.190182, 39.125596,121.549792, 29.868388,1
134,上海,宁波,121.472644, 31.231706,121.549792, 29.868388,5
135,南京,宁波,118.767413, 32.041544,121.549792, 29.868388,5
136,台湾省,宁波,121.509062,25.044332,121.549792, 29.868388,1
137,上海,温州,121.472644, 31.231706,120.672111, 28.000575,1
138,杭州,温州,120.153576, 30.287459,120.672111, 28.000575,1
139,武汉,温州,114.298572, 30.584355,120.672111, 28.000575,2
140,上海,嘉兴,121.472644, 31.231706,120.750865, 30.762653,3
141,杭州,湖州,120.153576, 30.287459,120.102398, 30.867198,2
142,杭州,金华,120.153576, 30.287459,119.649506, 29.089524,1
143,苏州,衢州,120.619585, 31.299379,118.87263, 28.941708,1
144,杭州,衢州,120.153576, 30.287459,118.87263, 28.941708,4
145,广州,衢州,113.280637, 23.125178,118.87263, 28.941708,1
146,杭州,舟山,120.153576, 30.287459,122.106863, 30.016028,1
147,福州,舟山,119.306239, 26.075302,122.106863, 30.016028,1
148,成都,舟山,104.065735, 30.659462,122.106863, 30.016028,1
149,上海,台州,121.472644, 31.231706,121.428599, 28.661378,1
150,南京,台州,118.767413, 32.041544,121.428599, 28.661378,1
151,北京,合肥,116.405285, 39.904989,117.283042, 31.86119,11
152,上海,合肥,121.472644, 31.231706,117.283042, 31.86119,4
153,南京,合肥,118.767413, 32.041544,117.283042, 31.86119,3
154,六安,合肥,116.507676, 31.752889,117.283042, 31.86119,1
155,中山,合肥,113.382391, 22.521113,117.283042, 31.86119,2
156,南宁,合肥,108.320004, 22.82402,117.283042, 31.86119,1
157,福州,蚌埠,119.306239, 26.075302,117.363228, 32.939667,1
158,重庆,阜阳,106.504962, 29.533155,115.819729, 32.896969,1
159,北京,福州,116.405285, 39.904989,119.306239, 26.075302,8
160,天津,福州,117.190182, 39.125596,119.306239, 26.075302,3
161,上海,福州,121.472644, 31.231706,119.306239, 26.075302,2
162,南京,福州,118.767413, 32.041544,119.306239, 26.075302,3
163,武汉,福州,114.298572, 30.584355,119.306239, 26.075302,1
164,广州,福州,113.280637, 23.125178,119.306239, 26.075302,3
165,深圳,福州,114.085947, 22.547,119.306239, 26.075302,2
166,中山,福州,113.382391, 22.521113,119.306239, 26.075302,1
167,成都,福州,104.065735, 30.659462,119.306239, 26.075302,3
168,北京,厦门,116.405285, 39.904989,118.11022, 24.490474,14
169,上海,厦门,121.472644, 31.231706,118.11022, 24.490474,4
170,南京,厦门,118.767413, 32.041544,118.11022, 24.490474,1
171,南宁,厦门,108.320004, 22.82402,118.11022, 24.490474,2
172,北京,泉州,116.405285, 39.904989,118.589421, 24.908853,3
173,天津,泉州,117.190182, 39.125596,118.589421, 24.908853,1
174,上海,泉州,121.472644, 31.231706,118.589421, 24.908853,2
175,南京,泉州,118.767413, 32.041544,118.589421, 24.908853,1
176,厦门,泉州,118.11022, 24.490474,118.589421, 24.908853,4
177,广州,泉州,113.280637, 23.125178,118.589421, 24.908853,1
178,南宁,泉州,108.320004, 22.82402,118.589421, 24.908853,1
179,杭州,漳州,120.153576, 30.287459,117.661801, 24.510897,1
180,广州,漳州,113.280637, 23.125178,117.661801, 24.510897,1
181,北京,南昌,116.405285, 39.904989,115.892151, 28.676493,7
182,上海,南昌,121.472644, 31.231706,115.892151, 28.676493,1
183,南京,南昌,118.767413, 32.041544,115.892151, 28.676493,1
184,中山,南昌,113.382391, 22.521113,115.892151, 28.676493,4
185,兰州,南昌,103.823557, 36.058039,115.892151, 28.676493,1
186,北京,赣州,116.405285, 39.904989,114.940278, 25.85097,2
187,衢州,赣州,118.87263, 28.941708,114.940278, 25.85097,1
188,北京,济南,116.405285, 39.904989,117.000923, 36.675807,22
189,天津,济南,117.190182, 39.125596,117.000923, 36.675807,8
190,大连,济南,121.618622, 38.91459,117.000923, 36.675807,1
191,哈尔滨,济南,126.642464, 45.756967,117.000923, 36.675807,3
192,上海,济南,121.472644, 31.231706,117.000923, 36.675807,9
193,南京,济南,118.767413, 32.041544,117.000923, 36.675807,8
194,杭州,济南,120.153576, 30.287459,117.000923, 36.675807,1
195,宁波,济南,121.549792, 29.868388,117.000923, 36.675807,1
196,厦门,济南,118.11022, 24.490474,117.000923, 36.675807,1
197,临沂,济南,118.326443, 35.065282,117.000923, 36.675807,1
198,武汉,济南,114.298572, 30.584355,117.000923, 36.675807,1
199,广州,济南,113.280637, 23.125178,117.000923, 36.675807,2
200,中山,济南,113.382391, 22.521113,117.000923, 36.675807,1
201,桂林,济南,110.299121, 25.274215,117.000923, 36.675807,1
202,成都,济南,104.065735, 30.659462,117.000923, 36.675807,1
203,昆明,济南,102.712251, 25.040609,117.000923, 36.675807,1
204,乌鲁木齐,济南,87.617733, 43.792818,117.000923, 36.675807,1
205,北京,青岛,116.405285, 39.904989,120.355173, 36.082982,6
206,天津,青岛,117.190182, 39.125596,120.355173, 36.082982,2
207,哈尔滨,青岛,126.642464, 45.756967,120.355173, 36.082982,2
208,上海,青岛,121.472644, 31.231706,120.355173, 36.082982,2
209,苏州,青岛,120.619585, 31.299379,120.355173, 36.082982,1
210,杭州,青岛,120.153576, 30.287459,120.355173, 36.082982,2
211,厦门,青岛,118.11022, 24.490474,120.355173, 36.082982,2
212,济南,青岛,117.000923, 36.675807,120.355173, 36.082982,3
213,日照,青岛,119.461208, 35.428588,120.355173, 36.082982,1
214,深圳,青岛,114.085947, 22.547,120.355173, 36.082982,1
215,西安,青岛,108.948024, 34.263161,120.355173, 36.082982,2
216,北京,淄博,116.405285, 39.904989,118.047648, 36.814939,1
217,天津,淄博,117.190182, 39.125596,118.047648, 36.814939,2
218,上海,淄博,121.472644, 31.231706,118.047648, 36.814939,1
219,济南,淄博,117.000923, 36.675807,118.047648, 36.814939,1
220,南京,烟台,118.767413, 32.041544,121.391382, 37.539297,2
221,南京,济宁,118.767413, 32.041544,116.587245, 35.415393,1
222,北京,威海,116.405285, 39.904989,122.116394, 37.509691,2
223,上海,日照,121.472644, 31.231706,119.461208, 35.428588,1
224,北京,菏泽,116.405285, 39.904989,115.469381, 35.246531,1
225,济南,菏泽,117.000923, 36.675807,115.469381, 35.246531,2
226,北京,郑州,116.405285, 39.904989,113.665412, 34.757975,9
227,苏州,郑州,120.619585, 31.299379,113.665412, 34.757975,1
228,合肥,郑州,117.283042, 31.86119,113.665412, 34.757975,1
229,聊城,郑州,115.980367, 36.456013,113.665412, 34.757975,1
230,洛阳,郑州,112.434468, 34.663041,113.665412, 34.757975,5
231,广州,郑州,113.280637, 23.125178,113.665412, 34.757975,4
232,中山,郑州,113.382391, 22.521113,113.665412, 34.757975,3
233,西安,郑州,108.948024, 34.263161,113.665412, 34.757975,3
234,北京,洛阳,116.405285, 39.904989,112.434468, 34.663041,1
235,南京,洛阳,118.767413, 32.041544,112.434468, 34.663041,1
236,合肥,洛阳,117.283042, 31.86119,112.434468, 34.663041,1
